tweet_id,favorite_count,retweet_count
847251039262605312,21588,4651
847157206088847362,21120,6359
847116187444137987,22659,3462
846874817362120707,21254,4270
846514051647705089,47319,12631
846505985330044928,14979,3369
846153765933735936,33623,9862
846139713627017216,32652,10695
846042936437604353,16934,3137
845812042753855489,31058,9531
845677943972139009,26613,5209
845397057150107648,8088,1989
845306882940190720,24743,5872
845098359547420673,0,8379
844979544864018432,14465,2825
844973813909606400,16057,3509
844704788403113984,41138,11292
844580511645339650,17491,3423
844223788422217728,14462,2392
843981021012017153,16031,3188
843856843873095681,22732,5051
843604394117681152,17936,2989
843235543001513987,22843,6621
842846295480000512,16164,3914
842765311967449089,7175,1399
842535590457499648,19243,3825
842163532590374912,26065,6344
842115215311396866,14914,3306
841833993020538882,0,16884
841680585030541313,27290,8489
841439858740625411,13456,4028
841320156043304961,21027,5942
841314665196081154,16929,5156
841077006473256960,24428,5812
840761248237133825,0,1925
840728873075638272,0,17792
840698636975636481,194,3
840696689258311684,13120,1084
840632337062862849,9580,1925
840370681858686976,17563,5009
840268004936019968,20556,6292
839990271299457024,14336,2525
839549326359670784,29390,8541
839290600511926273,0,155
839239871831150596,29054,7201
838952994649550848,20959,4382
838921590096166913,11935,2283
838916489579200512,0,37
838831947270979586,0,12203
838561493054533637,11657,1464
838476387338051585,24182,5308
838201503651401729,0,11149
838150277551247360,1789,358
838085839343206401,149,0
838083903487373313,18843,3465
837820167694528512,36563,8680
837482249356513284,4114,488
837471256429613056,13703,2548
837366284874571778,22612,5835
837110210464448512,17124,2644
836989968035819520,13618,2533
836753516572119041,20594,5086
836677758902222849,13495,2450
836648853927522308,0,607
836397794269200385,0,30436
836380477523124226,15743,3241
836260088725786625,22735,4731
836001077879255040,20469,4755
835685285446955009,0,9039
835574547218894849,19077,4003
835536468978302976,0,1878
835309094223372289,0,23251
835297930240217089,17546,3300
835264098648616962,8322,1878
835246439529840640,2232,81
835172783151792128,27993,6348
835152434251116546,24079,3348
834931633769889797,11612,1823
834786237630337024,22619,6031
834574053763584002,14704,2805
834477809192075265,0,11798
834458053273591808,10315,1851
834209720923721728,22112,5298
834167344700198914,16887,4016
834089966724603904,10780,2353
834086379323871233,13999,2449
833863086058651648,14378,2661
833826103416520705,16451,3805
833732339549220864,0,241
833722901757046785,22183,3545
833479644947025920,15958,2286
833124694597443584,21693,5363
832998151111966721,14288,2454
832769181346996225,0,42
832757312314028032,18056,4012
832682457690300417,12759,3265
832645525019123713,3140,576
832636094638288896,17040,3105
832397543355072512,12852,2472
832369877331693569,18427,3533
832273440279240704,12140,2590
832215909146226688,0,6869
832215726631055365,0,10392
832088576586297345,72,2
832040443403784192,0,10798
832032802820481025,19213,5173
831939777352105988,25821,6822
831926988323639298,366,36
831911600680497154,29744,7247
831670449226514432,11233,2012
831650051525054464,7727,2168
831552930092285952,9688,2555
831322785565769729,9864,1695
831315979191906304,6991,1233
831309418084069378,12580,2707
831262627380748289,12818,2280
830956169170665475,8577,1673
830583320585068544,72038,18736
830173239259324417,0,6339
830097400375152640,10587,3349
829878982036299777,0,5581
829861396166877184,13178,2185
829501995190984704,34189,11798
829449946868879360,11288,2263
829374341691346946,37335,10379
829141528400556032,26410,8251
829011960981237760,57093,18066
828801551087042563,0,3785
828770345708580865,27541,6543
828708714936930305,39462,12492
828650029636317184,10261,1494
828409743546925057,6768,1275
828408677031882754,8248,1424
828381636999917570,13614,2473
828376505180889089,7973,1185
828372645993398273,13509,3256
828361771580813312,2362,191
828046555563323392,12689,3182
828011680017821696,11165,2386
827933404142436356,21742,5826
827653905312006145,16670,3344
827600520311402496,8006,1053
827324948884643840,17146,3409
827199976799354881,11428,2502
826958653328592898,23322,5581
826848821049180160,39458,11459
826615380357632002,0,4391
826598799820865537,5530,284
826598365270007810,10879,2619
826476773533745153,19895,4683
826240494070030336,14330,2889
826204788643753985,5266,1049
826115272272650244,16939,3491
825876512159186944,11310,2088
825829644528148480,13757,2779
825535076884762624,56241,19207
825147591692263424,19797,5112
825120256414846976,0,1440
825026590719483904,6877,1440
824796380199809024,0,6129
824775126675836928,16198,3943
824663926340194305,10900,1942
824325613288833024,12754,11594
824297048279236611,16263,4318
824025158776213504,5167,665
823939628516474880,11527,3030
823719002937630720,0,12602
823699002998870016,13607,2701
823581115634085888,14111,2962
823333489516937216,758,29
823322678127919110,17061,4511
823269594223824897,0,11041
822975315408461824,18747,3854
822872901745569793,143505,49185
822859134160621569,14299,2555
822647212903690241,0,7175
822610361945911296,16003,3317
822489057087389700,19671,7175
